"index","Date and time"," water level (m ODN)"," flag"," HW=1 or LW=0"
"0","01/05/1911 15:40:00","  3.7130","1",""
"1","02/05/1911 11:25:00"," -2.9415","0",""
"2","02/05/1911 16:05:00","  3.3828","1",""
"3","03/05/1911 11:50:00"," -2.6367","0",""
"4","03/05/1911 16:55:00","  2.9256","1",""
"5","04/05/1911 12:10:00"," -2.4843","0",""
"6","04/05/1911 17:45:00","  3.1542","1",""
"7","05/05/1911 06:30:00","  3.0780","1",""
"8","05/05/1911 13:00:00"," -2.4843","0",""
"9","06/05/1911 07:35:00","  2.7732","1",""
"10","06/05/1911 14:25:00"," -1.9509","0",""
"11","07/05/1911 09:10:00","  2.6208","1",""
"12","07/05/1911 15:30:00"," -2.0271","0",""
"13","08/05/1911 10:25:00","  2.6716","1",""
"14","08/05/1911 16:50:00"," -2.1033","0",""
"15","09/05/1911 12:00:00","  3.0018","1",""
"16","09/05/1911 18:05:00"," -2.2303","0",""
"17","10/05/1911 07:00:00"," -2.6367","0",""
"18","10/05/1911 12:40:00","  3.1034","1",""
"19","11/05/1911 07:45:00"," -2.7891","0",""
"20","11/05/1911 13:15:00","  3.2304","1",""
"21","12/05/1911 08:25:00"," -2.7891","0",""
"22","12/05/1911 13:45:00","  3.3574","1",""
"23","13/05/1911 09:00:00"," -2.7383","0",""
"24","13/05/1911 14:15:00","  3.4590","1",""
"25","14/05/1911 14:45:00","  3.4590","1",""
"26","15/05/1911 10:00:00"," -2.6367","0",""
"27","15/05/1911 15:10:00","  3.4082","1",""
"28","16/05/1911 10:30:00"," -2.5097","0",""
"29","16/05/1911 16:00:00","  3.2304","1",""
"30","17/05/1911 10:45:00"," -2.4081","0",""
"31","17/05/1911 16:20:00","  3.1288","1",""
"32","18/05/1911 11:00:00"," -2.3065","0",""
"33","18/05/1911 17:00:00","  2.8240","1",""
"34","19/05/1911 11:45:00"," -1.9001","0",""
"35","19/05/1911 17:40:00","  2.4684","1",""
"36","20/05/1911 12:10:00"," -1.9001","0",""
"37","20/05/1911 18:10:00","  2.1637","1",""
"38","21/05/1911 07:10:00","  2.3160","1",""
"39","21/05/1911 13:15:00"," -1.8747","0",""
"40","22/05/1911 07:55:00","  2.2906","1",""
"41","22/05/1911 14:55:00"," -1.8747","0",""
"42","23/05/1911 09:25:00","  2.4938","1",""
"43","23/05/1911 15:50:00"," -1.8747","0",""
"44","24/05/1911 10:40:00","  2.6208","1",""
"45","24/05/1911 17:00:00"," -2.1795","0",""
"46","25/05/1911 11:30:00","  3.0018","1",""
"47","25/05/1911 18:15:00"," -2.4335","0",""
"48","26/05/1911 12:30:00","  3.4590","1",""
"49","27/05/1911 08:00:00"," -2.8399","0",""
"50","27/05/1911 13:15:00","  3.4590","1",""
"51","28/05/1911 09:00:00"," -2.6367","0",""
"52","28/05/1911 13:50:00","  3.6114","1",""
"53","29/05/1911 09:45:00"," -2.8653","0",""
"54","29/05/1911 14:45:00","  3.6876","1",""
"55","30/05/1911 15:30:00","  3.6114","1",""
"56","31/05/1911 11:10:00"," -2.7637","0",""
"57","31/05/1911 16:20:00","  3.5098","1",""
"58","01/06/1911 11:15:00"," -2.7383","0",""
"59","01/06/1911 16:55:00","  3.3828","1",""
"60","02/06/1911 12:15:00"," -2.4081","0",""
"61","02/06/1911 18:00:00","  2.9256","1",""
"62","03/06/1911 13:00:00"," -2.2557","0",""
"63","03/06/1911 19:00:00","  2.6208","1",""
"64","04/06/1911 14:00:00"," -2.1287","0",""
"65","04/06/1911 20:00:00","  2.4938","1",""
"66","05/06/1911 08:45:00","  2.6970","1",""
"67","05/06/1911 15:05:00"," -2.1033","0",""
"68","06/06/1911 10:00:00","  2.7732","1",""
"69","06/06/1911 16:05:00"," -1.9255","0",""
"70","07/06/1911 11:10:00","  2.6462","1",""
"71","07/06/1911 17:20:00"," -2.2557","0",""
"72","08/06/1911 12:00:00","  2.7732","1",""
"73","08/06/1911 18:20:00"," -2.4081","0",""
"74","09/06/1911 12:45:00","  3.1796","1",""
"75","10/06/1911 07:20:00"," -2.4081","0",""
"76","10/06/1911 13:15:00","  3.0018","1",""
"77","11/06/1911 08:20:00"," -2.6367","0",""
"78","11/06/1911 13:50:00","  3.0780","1",""
"79","12/06/1911 08:55:00"," -2.5605","0",""
"80","12/06/1911 14:30:00","  3.1288","1",""
"81","13/06/1911 09:20:00"," -2.3065","0",""
"82","13/06/1911 14:40:00","  3.2304","1",""
"83","14/06/1911 10:00:00"," -2.4843","0",""
"84","14/06/1911 15:25:00","  3.1288","1",""
"85","15/06/1911 10:30:00"," -2.3827","0",""
"86","15/06/1911 16:20:00","  2.9256","1",""
"87","16/06/1911 11:10:00"," -2.2811","0",""
"88","16/06/1911 16:55:00","  2.8748","1",""
"89","17/06/1911 11:45:00"," -2.2303","0",""
"90","17/06/1911 17:20:00","  2.6208","1",""
"91","18/06/1911 12:25:00"," -2.4081","0",""
"92","18/06/1911 17:45:00","  2.4938","1",""
"93","19/06/1911 12:40:00"," -2.0271","0",""
"94","19/06/1911 18:30:00","  2.5446","1",""
"95","20/06/1911 14:00:00"," -1.8747","0",""
"96","20/06/1911 19:50:00","  2.4938","1",""
"97","21/06/1911 08:30:00","  2.5954","1",""
"98","21/06/1911 15:00:00"," -2.1287","0",""
"99","22/06/1911 09:45:00","  2.3922","1",""
"100","22/06/1911 16:20:00"," -2.4843","0",""
"101","23/06/1911 10:40:00","  2.9256","1",""
"102","24/06/1911 11:45:00","  3.0018","1",""
"103","24/06/1911 18:50:00"," -2.6875","0",""
"104","25/06/1911 07:30:00"," -2.8399","0",""
"105","25/06/1911 12:25:00","  2.9256","1",""
"106","26/06/1911 08:25:00"," -2.9669","0",""
"107","26/06/1911 13:30:00","  3.2812","1",""
"108","27/06/1911 09:15:00"," -2.7891","0",""
"109","27/06/1911 14:20:00","  3.4336","1",""
"110","28/06/1911 10:10:00"," -2.8653","0",""
"111","28/06/1911 15:15:00","  3.3320","1",""
"112","29/06/1911 10:55:00"," -2.8399","0",""
"113","29/06/1911 16:00:00","  3.2812","1",""
"114","30/06/1911 11:30:00"," -2.6367","0",""
"115","30/06/1911 16:50:00","  3.3828","1",""
"116","01/07/1911 12:10:00"," -2.4843","0",""
"117","01/07/1911 17:35:00","  3.2304","1",""
"118","02/07/1911 12:50:00"," -2.4335","0",""
"119","02/07/1911 18:25:00","  3.0018","1",""
"120","03/07/1911 07:00:00","  3.0018","1",""
"121","03/07/1911 13:30:00"," -2.3319","0",""
"122","04/07/1911 08:07:00","  2.5700","1",""
"123","04/07/1911 14:20:00"," -2.3827","0",""
"124","05/07/1911 09:00:00","  2.5446","1",""
"125","05/07/1911 15:10:00"," -2.1541","0",""
"126","06/07/1911 10:10:00","  2.4684","1",""
"127","06/07/1911 16:15:00"," -2.1033","0",""
"128","07/07/1911 11:00:00","  2.4684","1",""
"129","07/07/1911 17:20:00"," -2.0779","0",""
"130","08/07/1911 12:00:00","  2.5446","1",""
"131","08/07/1911 18:15:00"," -2.2303","0",""
"132","09/07/1911 13:00:00","  2.7732","1",""
"133","09/07/1911 19:20:00"," -2.4081","0",""
"134","10/07/1911 13:40:00","  2.7986","1",""
"135","10/07/1911 20:15:00"," -2.4843","0",""
"136","11/07/1911 08:35:00"," -2.5605","0",""
"137","11/07/1911 14:10:00","  2.9002","1",""
"138","12/07/1911 09:10:00"," -2.5351","0",""
"139","12/07/1911 14:50:00","  3.0018","1",""
"140","13/07/1911 09:50:00"," -2.5097","0",""
"141","13/07/1911 15:20:00","  2.9764","1",""
"142","14/07/1911 10:27:00"," -2.5351","0",""
"143","14/07/1911 15:50:00","  3.0780","1",""
"144","15/07/1911 10:41:00"," -2.4843","0",""
"145","15/07/1911 16:21:00","  3.2050","1",""
"146","16/07/1911 11:40:00"," -2.7891","0",""
"147","16/07/1911 17:00:00","  3.0018","1",""
"148","17/07/1911 17:35:00","  2.8494","1",""
"149","18/07/1911 12:40:00"," -2.4081","0",""
"150","18/07/1911 18:20:00","  2.9002","1",""
"151","19/07/1911 13:15:00"," -2.2557","0",""
"152","19/07/1911 19:10:00","  2.6970","1",""
"153","20/07/1911 08:00:00","  2.7224","1",""
"154","20/07/1911 14:20:00"," -2.2557","0",""
"155","21/07/1911 09:00:00","  2.5446","1",""
"156","21/07/1911 15:25:00"," -2.3065","0",""
"157","22/07/1911 09:40:00","  2.5954","1",""
"158","22/07/1911 16:50:00"," -2.2049","0",""
"159","23/07/1911 11:45:00","  2.9256","1",""
"160","23/07/1911 18:00:00"," -2.2049","0",""
"161","24/07/1911 12:30:00","  3.0272","1",""
"162","24/07/1911 19:23:00"," -2.5097","0",""
"163","25/07/1911 08:00:00"," -2.6367","0",""
"164","25/07/1911 13:30:00","  3.1034","1",""
"165","26/07/1911 09:10:00"," -2.6367","0",""
"166","26/07/1911 14:17:00","  3.2304","1",""
"167","27/07/1911 09:55:00"," -2.6621","0",""
"168","27/07/1911 15:00:00","  3.1542","1",""
"169","28/07/1911 10:35:00"," -2.7129","0",""
"170","28/07/1911 15:55:00","  3.0526","1",""
"171","29/07/1911 11:15:00"," -2.6113","0",""
"172","29/07/1911 16:35:00","  3.0018","1",""
"173","30/07/1911 17:30:00","  3.1542","1",""
"174","31/07/1911 12:20:00"," -2.4843","0",""
"175","31/07/1911 17:55:00","  3.2304","1",""
"176","01/08/1911 12:50:00"," -2.4081","0",""
"177","01/08/1911 18:40:00","  2.9510","1",""
"178","02/08/1911 13:30:00"," -2.2811","0",""
"179","02/08/1911 19:15:00","  2.5700","1",""
"180","03/08/1911 08:00:00","  2.4684","1",""
"181","03/08/1911 14:05:00"," -2.1033","0",""
"182","04/08/1911 08:45:00","  2.3414","1",""
"183","04/08/1911 14:40:00"," -1.7224","0",""
"184","05/08/1911 09:50:00","  2.2399","1",""
"185","05/08/1911 16:30:00"," -1.9509","0",""
"186","06/08/1911 11:15:00","  2.2906","1",""
"187","06/08/1911 18:00:00"," -2.1287","0",""
"188","07/08/1911 12:20:00","  2.4938","1",""
"189","07/08/1911 19:10:00"," -2.2557","0",""
"190","08/08/1911 13:15:00","  2.9510","1",""
